name,class,state,photo,party,elected,born,term,full_name,address,phone,website,official,twitter
Luther Strange,2,Alabama,https://en.wikipedia.org/wiki/File:Luther_Strange_official_portrait.jpg,Republican,"February 9, 2017","March 1, 1953 (age 64)",2017,"Strange, Luther - (R - AL)",326 Russell Senate Office Building Washington DC 20510,(202) 224-4124,https://www.strange.senate.gov/,senator,https://twitter.com/lutherstrange
Richard Shelby,3,Alabama,"https://en.wikipedia.org/wiki/File:Richard_Shelby,_official_portrait,_112th_Congress_crop.jpg",Republican,"January 3, 1987","May 6, 1934 (age 83)",2022,"Shelby, Richard C. - (R - AL)",304 Russell Senate Office Building Washington DC 20510,(202) 224-5744,http://www.shelby.senate.gov/,senator,https://twitter.com/SenShelby
Dan Sullivan,2,Alaska,https://en.wikipedia.org/wiki/File:Senator_Dan_Sullivan_official.jpg,Republican,"January 3, 2015","November 13, 1964 (age 52)",2020,"Sullivan, Dan - (R - AK)",702 Hart Senate Office Building Washington DC 20510,(202) 224-3004,http://www.sullivan.senate.gov/,senator,https://twitter.com/sendansullivan
Lisa Murkowski,3,Alaska,https://en.wikipedia.org/wiki/File:Lisa_Murkowski_1_(cropped).jpg,Republican,"December 20, 2002","May 22, 1957 (age 60)",2022,"Murkowski, Lisa - (R - AK)",522 Hart Senate Office Building Washington DC 20510,(202) 224-6665,http://www.murkowski.senate.gov/,senator,https://twitter.com/lisamurkowski
Jeff Flake,1,Arizona,https://en.wikipedia.org/wiki/File:Jeff_Flake_official_Senate_photo.jpg,Republican,"January 3, 2013","December 31, 1962 (age 54)",2018,"Flake, Jeff - (R - AZ)",413 Russell Senate Office Building Washington DC 20510,(202) 224-4521,http://www.flake.senate.gov/,senator,https://twitter.com/JeffFlake
John McCain,3,Arizona,https://en.wikipedia.org/wiki/File:John_McCain_official_portrait_2009.jpg,Republican,"January 3, 1987","August 29, 1936 (age 80)",2022,"McCain, John - (R - AZ)",218 Russell Senate Office Building Washington DC 20510,(202) 224-2235,http://www.mccain.senate.gov/,senator,https://twitter.com/SenJohnMcCain
John Boozman,3,Arkansas,"https://en.wikipedia.org/wiki/File:John_Boozman,_official_portrait,_112th_Congress.jpg",Republican,"January 3, 2011","December 10, 1950 (age 66)",2022,"Boozman, John - (R - AR)",141 Hart Senate Office Building Washington DC 20510,(202) 224-4843,http://www.boozman.senate.gov/,senator,https://twitter.com/JohnBoozman
Tom Cotton,2,Arkansas,https://en.wikipedia.org/wiki/File:Tom_Cotton_official_Senate_photo.jpg,Republican,"January 3, 2015","May 13, 1977 (age 40)",2020,"Cotton, Tom - (R - AR)",124 Russell Senate Office Building Washington DC 20510,(202) 224-2353,http://www.cotton.senate.gov/,senator,https://twitter.com/SenTomCotton
Dianne Feinstein,1,California,"https://en.wikipedia.org/wiki/File:Dianne_Feinstein,_official_Senate_photo_2.jpg",Democratic,"November 10, 1992","June 22, 1933 (age 83)",2018,"Feinstein, Dianne - (D - CA)",331 Hart Senate Office Building Washington DC 20510,(202) 224-3841,http://www.feinstein.senate.gov/,senator,https://twitter.com/SenFeinstein
Kamala Harris,3,California,https://en.wikipedia.org/wiki/File:Kamala_Harris_Official_Attorney_General_Photo.jpg,Democratic,"January 3, 2017","October 20, 1964 (age 52)",2022,"Harris, Kamala D. - (D - CA)",112 Hart Senate Office Building Washington DC 20510,(202) 224-3553,http://www.harris.senate.gov/,senator,https://twitter.com/SenKamalaHarris
Cory Gardner,2,Colorado,https://en.wikipedia.org/wiki/File:Cory_Gardner_official_Senate_portrait.jpeg,Republican,"January 3, 2015","August 22, 1974 (age 42)",2020,"Gardner, Cory - (R - CO)",354 Russell Senate Office Building Washington DC 20510,(202) 224-5941,http://www.gardner.senate.gov/,senator,https://twitter.com/SenCoryGardner
Michael Bennet,3,Colorado,https://en.wikipedia.org/wiki/File:Michael_Bennet_Official_Photo.jpg,Democratic,"January 21, 2009","November 28, 1964 (age 52)",2022,"Bennet, Michael F. - (D - CO)",261 Russell Senate Office Building Washington DC 20510,(202) 224-5852,http://www.bennet.senate.gov/,senator,https://twitter.com/SenBennetCO
Chris Murphy,1,Connecticut,"https://en.wikipedia.org/wiki/File:Chris_Murphy,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2013","August 3, 1973 (age 43)",2018,"Murphy, Christopher - (D - CT)",136 Hart Senate Office Building Washington DC 20510,(202) 224-4041,http://www.murphy.senate.gov/,senator,https://twitter.com/ChrisMurphyCT
Richard Blumenthal,3,Connecticut,https://en.wikipedia.org/wiki/File:Richard_Blumenthal_Official_Portrait.jpg,Democratic,"January 5, 2011","February 13, 1946 (age 71)",2022,"Blumenthal, Richard - (D - CT)",706 Hart Senate Office Building Washington DC 20510,(202) 224-2823,http://www.blumenthal.senate.gov/,senator,https://twitter.com/SenBlumenthal
Chris Coons,2,Delaware,"https://en.wikipedia.org/wiki/File:Chris_Coons,_official_portrait,_112th_Congress.jpg",Democratic,"November 15, 2010","September 9, 1963 (age 53)",2020,"Coons, Christopher A. - (D - DE)",127A Russell Senate Office Building Washington DC 20510,(202) 224-5042,http://www.coons.senate.gov/,senator,https://twitter.com/ChrisCoons
